,Course Id,Discipline,Course Name,SME Name,Institute,"
Co-ordinating Institute",Duration,UG/PG,Core/Elective,Applicable NPTEL Domain,Click here to join the course,NPTEL URL,credits,Difficulty Level
2,noc23-ae03,Aerospace Engineering,Rocket Propulsion,"Prof. K. Ramamurthi 
 Prof. V. Nagabhushana Rao",IITM,IITM,12 Weeks,UG/PG,Elective,Propulsion,https://onlinecourses.nptel.ac.in/noc23_ae03,https://nptel.ac.in/courses/101106082,3,Intermediate
3,noc23-ae04,Aerospace Engineering,Computational Science in Engineering,Prof. Ashok De,IITK,IITK,8 Weeks,UG/PG,Core/Elective,,https://onlinecourses.nptel.ac.in/noc23_ae04,https://nptel.ac.in/courses/101104086,2,Intermediate
4,noc23-ae05,Aerospace Engineering,Lighter than Air Systems,Prof. Rajkumar S. Pant,IITB,IITB,12 Weeks,UG/PG,Elective,,https://onlinecourses.nptel.ac.in/noc23_ae05,https://nptel.ac.in/courses/101101087,3,Intermediate
6,noc23-ae07,Aerospace Engineering,Satellite Attitude Dynamics And Control,Prof. Manoranjan Sinha,IITKGP,IITKGP,12 Weeks,UG/PG,Core/Elective,,https://onlinecourses.nptel.ac.in/noc23_ae07,https://nptel.ac.in/courses/101105077,3,Intermediate
7,noc23-ag01,Agriculture Engineering,Instrumentation and Process Control in Food Industry,Prof. Ashis Kumar Datta,IITKGP,IITKGP,8 Weeks,UG,Elective,,https://onlinecourses.nptel.ac.in/noc23_ag01,https://nptel.ac.in/courses/126105020,2,Beginner
10,noc23-ag04,Agriculture Engineering,Machine Learning For Soil And Crop Management,Prof. Somsubhra Chakraborty,IITKGP,IITKGP,12 Weeks,UG,Elective,,https://onlinecourses.nptel.ac.in/noc23_ag04,https://nptel.ac.in/courses/126105021,3,Beginner
11,noc23-ag05,Agriculture Engineering,Cooling Technology: Why and How utilized in Food Processing and allied Industries,Prof. Tridib Kumar Goswami,IITKGP,IITKGP,12 Weeks,UG/PG,Elective,,https://onlinecourses.nptel.ac.in/noc23_ag05,https://nptel.ac.in/courses/126105025,3,Intermediate
12,noc23-ag06,Agriculture Engineering,Traction Engineering,Prof. Hifjur Raheman,IITKGP,IITKGP,8 Weeks,UG/PG,Elective,,https://onlinecourses.nptel.ac.in/noc23_ag06,https://nptel.ac.in/courses/126105026,2,Intermediate
17,noc23-ar03,Architecture and Planning,User Interface Design,Prof. Saptarshi Kolay,IITR,IITR,4 Weeks,UG/PG,Elective,,https://onlinecourses.nptel.ac.in/noc23_ar03,https://nptel.ac.in/courses/124107008,1,Intermediate
18,noc23-ar04,Architecture and Planning,Environmental Impact Assessment,Prof. Harshit Sosan Lakra,IITR,IITR,12 Weeks,UG/PG,Elective,"Construction Materials Technology
 Environment",https://onlinecourses.nptel.ac.in/noc23_ar04,https://nptel.ac.in/courses/124107160,3,Intermediate
22,noc23-ce01,"Architecture, Civil and Design",Strategies for Sustainable Design,Prof. Shiva Ji,IIT Hyderabad,IITM,12 Weeks,UG/PG,Elective,,https://onlinecourses.nptel.ac.in/noc23_ce01,https://nptel.ac.in/courses/124106157,3,Intermediate
23,noc23-bt01,Biological science,Maternal Infant Young Child Nutrition,Prof. Rupal Dalal,IITB,IITB,12 Weeks,UG/PG,Elective,,https://onlinecourses.nptel.ac.in/noc23_bt01,https://nptel.ac.in/courses/102101091,3,Intermediate
24,noc23-bt02,Biological science,मातृ शिशु युवा बाल पोषण,Prof. Rupal Dalal,IITB,IITB,12 Weeks,UG/PG,Elective,,https://onlinecourses.nptel.ac.in/noc23_bt02,https://nptel.ac.in/courses/102101097,3,Intermediate
27,noc23-bt05,Biotechnology and Bioengineering,Enzyme Sciences and Technology,Prof. Vishal Trivedi,IITG,IITG,12 Weeks,UG,Elective,,https://onlinecourses.nptel.ac.in/noc23_bt05,https://nptel.ac.in/courses/102103097,3,Beginner
